code,city,state,latitude,longitude
10875,"Mercedes-Benz. io GmbH","Baden-Württemberg",48.7794,9.1679
10875,"Mercedes-Benz Vertrieb PKW GmbH","Baden-Württemberg",48.7239,9.1699
10875,"Fünfte Vermögensverwaltungsgesellschaft Zeus mbH","Baden-Württemberg",48.7239,9.1699
10875,"Daimler Brand und IP Management GmbH & Co.KG","Baden-Württemberg",48.7239,9.1699
10875,"Mercedes-Benz Versicherung AG","Baden-Württemberg",48.8103,9.1807
10875,"Mercedes-Benz Vertrieb NFZ GmbH","Baden-Württemberg",48.7239,9.1699
10875,"Daimler Insurance Services GmbH","Baden-Württemberg",48.8103,9.1807
10875,"Daimler Vorsorge und Versicherungsdienst GmbH","Baden-Württemberg",48.8103,9.1807
10875,"LAB1886 GmbH","Baden-Württemberg",48.7239,9.1699
11512,"Versorgungswerk der Presse GmbH","Baden-Württemberg",48.7709,9.1789
22781,"Yves Rocher GmbH Finanzbuchhaltung","Baden-Württemberg",48.7385,9.1096
50606,"VPV Lebensversicherung-AG","Baden-Württemberg",48.8202,9.0937
70131,"LBS Süd Landesbausparkasse Süd","Baden-Württemberg",48.7855,9.176
70134,"Generali Deutschland Versicherung AG","Baden-Württemberg",48.772,9.1642
70135,"Stuttgarter Lebensversicherung a.G","Baden-Württemberg",48.7702,9.1559
70136,"UniCredit Bank AG","Baden-Württemberg",48.7761,9.1746
70137,"HUK-Coburg","Baden-Württemberg",48.7781,9.1667
70138,"DPV Direct GmbH","Baden-Württemberg",48.778,9.1692
70139,"Sparda Bank Baden-Württemberg eG","Baden-Württemberg",48.7863,9.1808
70140,"Commerzbank AG","Baden-Württemberg",48.7816,9.1767
70141,"Finanzamt Stuttgart 2","Baden-Württemberg",48.7734,9.1679
70143,"Deutsche Post AG NL Renten Service","Baden-Württemberg",48.8246,9.2739
70144,"Landesbank Baden-Württemberg","Baden-Württemberg",48.786,9.1809
70145,"Agentur für Arbeit Stuttgart","Baden-Württemberg",48.7936,9.1902
70146,"Familienkasse Baden-Württemberg-Ost","Baden-Württemberg",48.7915,9.1993
70148,"Postbank Niederlassung Stuttgart","Baden-Württemberg",48.7784,9.1774
70149,"SüdFactoring GmbH","Baden-Württemberg",48.7882,9.1836
70150,"SWR","Baden-Württemberg",48.7936,9.2036
70151,"Allianz Lebensversicherungs-AG","Baden-Württemberg",48.7708,9.1681
70152,"Allianz ONE-Business Solutions GmbH Verwaltungspost","Baden-Württemberg",48.7755,9.1854
70153,"AOK - Die Gesundheitskasse Stuttgart","Baden-Württemberg",48.8016,9.1848
70154,"Amtsgericht -Mahnabteilung-","Baden-Württemberg",48.7871,9.1904
70155,"SüdLeasing GmbH","Baden-Württemberg",48.7882,9.1836
70158,"Statistisches Landesamt","Baden-Württemberg",48.7636,9.1611
70161,"Landeshauptstadt Stuttgart","Baden-Württemberg",48.7749,9.178
70162,"Motor Presse Stuttgart GmbH & Co. KG","Baden-Württemberg",48.7786,9.1709
