code,city,state,latitude,longitude
09111,Chemnitz,Sachsen,50.8333,12.9167
01067,Dresden,Sachsen,51.0504,13.7373
04109,Leipzig,Sachsen,51.3397,12.3731
08056,Zwickau,Sachsen,50.7189,12.4961
07545,Gera,Thüringen,50.8772,12.0796
99084,Erfurt,Thüringen,50.9787,11.0328
07743,Jena,Thüringen,50.9271,11.5892
10115,Berlin,Berlin,52.5320,13.3849
20095,Hamburg,Hamburg,53.5511,10.0000
80331,München,Bayern,48.1374,11.5755
50667,Köln,Nordrhein-Westfalen,50.9384,6.9599
60311,Frankfurt am Main,Hessen,50.1109,8.6821
